127.0.0.1, 2020-01-20 11:11:38, GET, /NE_PAGOS/default/grupos_manage, HTTP/1.1, 200, 0.160071
127.0.0.1, 2020-01-20 11:11:42, POST, /NE_PAGOS/default/grupos_manage/t_grupos/delete/t_grupos/1, HTTP/1.1, 200, 0.121249
127.0.0.1, 2020-01-20 11:11:45, POST, /NE_PAGOS/default/grupos_manage/t_grupos/delete/t_grupos/2, HTTP/1.1, 200, 0.117904
127.0.0.1, 2020-01-20 11:11:48, POST, /NE_PAGOS/default/grupos_manage/t_grupos/delete/t_grupos/3, HTTP/1.1, 200, 0.109376
127.0.0.1, 2020-01-20 11:11:50, POST, /NE_PAGOS/default/grupos_manage/t_grupos/delete/t_grupos/4, HTTP/1.1, 200, 0.115104
127.0.0.1, 2020-01-20 11:11:51, POST, /NE_PAGOS/default/grupos_manage/t_grupos/delete/t_grupos/6, HTTP/1.1, 200, 0.127752
127.0.0.1, 2020-01-20 11:11:53, POST, /NE_PAGOS/default/grupos_manage/t_grupos/delete/t_grupos/5, HTTP/1.1, 200, 0.181298
127.0.0.1, 2020-01-20 11:11:54, POST, /NE_PAGOS/default/grupos_manage/t_grupos/delete/t_grupos/8, HTTP/1.1, 200, 0.161525
127.0.0.1, 2020-01-20 11:11:55, POST, /NE_PAGOS/default/grupos_manage/t_grupos/delete/t_grupos/7, HTTP/1.1, 200, 0.110543
127.0.0.1, 2020-01-20 11:11:56, POST, /NE_PAGOS/default/grupos_manage/t_grupos/delete/t_grupos/9, HTTP/1.1, 200, 0.197157
127.0.0.1, 2020-01-20 11:11:57, POST, /NE_PAGOS/default/grupos_manage/t_grupos/delete/t_grupos/10, HTTP/1.1, 200, 0.171953
127.0.0.1, 2020-01-20 11:11:59, GET, /NE_PAGOS/default/grupos_manage/t_grupos/new/t_grupos, HTTP/1.1, 200, 0.109121
127.0.0.1, 2020-01-20 11:12:03, POST, /NE_PAGOS/default/grupos_manage/t_grupos/new/t_grupos, HTTP/1.1, 303, 0.099677
127.0.0.1, 2020-01-20 11:12:04, GET, /NE_PAGOS/default/grupos_manage/t_grupos, HTTP/1.1, 200, 0.137793
127.0.0.1, 2020-01-20 11:12:05, GET, /NE_PAGOS/default/alumnos_manage, HTTP/1.1, 200, 0.127785
127.0.0.1, 2020-01-20 11:12:13, GET, /NE_PAGOS/default/procesos_manage, HTTP/1.1, 200, 0.156497
127.0.0.1, 2020-01-20 11:12:14, GET, /NE_PAGOS/default/alumnos_manage, HTTP/1.1, 200, 0.125803
127.0.0.1, 2020-01-20 11:12:15, GET, /NE_PAGOS/default/alumnos_manage/new/t_alumnos, HTTP/1.1, 303, 0.088540
